,actual_time,alliances,comp_level,event_key,key,match_number,post_result_time,predicted_time,score_breakdown,set_number,time,videos,winning_alliance
47,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 42, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc862', 'frc1899', 'frc3337'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 56, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3642', 'frc2175', 'frc3494'], dtype=object)}}",qm,2011arc,2011arc_qm131,131,,,,1,,[],red
48,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 35, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc108', 'frc191', 'frc3017'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 19, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1811', 'frc3256', 'frc2972'], dtype=object)}}",qm,2011arc,2011arc_qm132,132,,,,1,,[],blue
49,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 72, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc701', 'frc3704', 'frc1640'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 92, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc435', 'frc2500', 'frc330'], dtype=object)}}",qm,2011arc,2011arc_qm133,133,,,,1,,[],red
50,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 51, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc677', 'frc74', 'frc3756'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 106, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1718', 'frc771', 'frc177'], dtype=object)}}",qm,2011arc,2011arc_qm134,134,,,,1,,[],red
51,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 38, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc360', 'frc203', 'frc3462'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 60, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1690', 'frc1138', 'frc597'], dtype=object)}}",qm,2011arc,2011arc_qm135,135,,,,1,,[],red
52,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 81, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc1482', 'frc931', 'frc118'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 67, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc846', 'frc2949', 'frc3467'], dtype=object)}}",qm,2011arc,2011arc_qm136,136,,,,1,,[],blue
53,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 20, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3322', 'frc238', 'frc1270'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 109, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc503', 'frc3481', 'frc33'], dtype=object)}}",qm,2011arc,2011arc_qm137,137,,,,1,,[],red
54,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 85, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc3642', 'frc781', 'frc1182'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 122, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc876', 'frc1023', 'frc2512'], dtype=object)}}",qm,2011arc,2011arc_qm138,138,,,,1,,[],red
55,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 74, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2169', 'frc3010', 'frc1000'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 13, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc108', 'frc930', 'frc3506'], dtype=object)}}",qm,2011arc,2011arc_qm139,139,,,,1,,[],blue
56,,"{'blue': {'dq_team_keys': array([], dtype=object), 'score': 39, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc2984', 'frc2949', 'frc3462'], dtype=object)}, 'red': {'dq_team_keys': array([], dtype=object), 'score': 77, 'surrogate_team_keys': array([], dtype=object), 'team_keys': array(['frc191', 'frc1014', 'frc2512'], dtype=object)}}",qm,2011arc,2011arc_qm14,14,,,,1,,"[{'key': 'lQMavL9YwOg', 'type': 'youtube'}
 {'key': 'http://videos.thebluealliance.net/2011arc/2011arc_qm14.mp4', 'type': 'tba'}]",red
